Order,Description
6428467,Root Vegetables
6428467,Root Vegetables
6428872,Beans
6428872,Cooking Paste
6428872,Cooking Sauce
6428872,Namkeen
6428872,Namkeen
6428872,Other Sweets
6428872,Raisins
6428872,Raisins
6428872,Root Vegetables
6429293,Gourd & Cucumber
6429293,Other Vegetables
6429293,Other Vegetables
6429293,Raw Rice
6429293,Toor Dal
6430060,Cashews
6430060,Organic Rice & Rice Products
6430060,Raisins
6430060,Sooji & Rava
6430060,Sugar
6430083,Banana
6430083,Organic Flours
6430083,Organic Juices
6430083,Organic Juices
6430083,Other Rice Products
6430083,Root Vegetables
6430137,Avalakki / Poha
6430137,Avalakki / Poha
6430137,Boiled Rice
6430137,Moong Dal
6430137,Moong Dal
6430137,Other Dals
6430137,Other Flours
6430137,Other Rice Products
6430137,Other Sweets
6430137,Raw Rice
6430137,Sooji & Rava
6430137,Sugar
6430137,Toor Dal
6430137,Toor Dal
6430137,Urad Dal
6430137,Whole Spices
6430419,Banana
6430419,Colours 
6430419,Face Cream
6430419,Face Cream
6430419,Face Cream
6430419,Other Oils
6430481,Raw Rice
6430579,Beans
6430579,Ghee
6430579,Milk
6430579,Other Vegetables
6430579,Other Vegetables
6430579,"Shaving Cream, Foam & Gels"
6430579,Whole Spices
6430579,Whole Spices
6430579,Whole Spices
6430605,Banana
6430605,Oats
6430605,Organic F&V
6430605,Organic Masalas & Spices
6430605,Other Sweets
6430605,Other Vegetables
6430605,Root Vegetables
6430605,Sugar
6430625,Banana
6430625,Boiled Rice
6430625,Exotic Vegetables
6430625,Ghee
6430625,Moong Dal
6430625,Other Dals
6430625,Other Dals
6430625,Other Dals
6430625,Other Dals
6430625,Raw Rice
6430625,Sooji & Rava
6430625,Toor Dal
6430800,Namkeen
6430800,Namkeen
6430885,Face Packs & Scrubs
6430885,Frozen Veg Food
6430885,"Glucose, Marie & Milk Biscuits"
6430885,Instant Noodles
6430885,Instant Noodles
6430885,Other Rice Products
6430885,Raisins
6431053,Powdered Spices
6431053,Root Vegetables
6431496,Banana
6431496,Beans
6431496,Other Dals
6431496,Other Dals
6431496,Raw Peanuts
6431496,Root Vegetables
6431496,Root Vegetables
6431731,Beans
6431731,Other Dals
6431731,Other Dals
6431731,Other Vegetables
6431731,Sooji & Rava
6431731,Sugar
6431731,Toor Dal
6431931,Beans
6431931,Beans
6431931,Cream Biscuits
6431931,Cream Biscuits
6431931,Gourd & Cucumber
6431931,Ice Creams & Desserts
6431931,Maida
6431931,Moong Dal
6431931,Namkeen
6431931,Namkeen
6431931,Organic F&V
6431931,Other Dals
6431931,Other Jams
6431931,Other Sweets
6431931,Other Vegetables
6431931,Root Vegetables
6431931,Toor Dal
6431931,Urad Dal
6432353,Banana
6432353,Beans
6432353,Beans
6432353,Boiled Rice
6432353,Gourd & Cucumber
6432353,Health Drinks
6432353,Organic Masalas & Spices
6432353,Other Flours
6432353,Rasagulla & Gulab Jamun
6432353,Rice Flour
6432353,Sooji & Rava
6432353,Whole Spices
6432388,Banana
6432388,Exotic Vegetables
6432388,Ghee
6432388,"Glucose, Marie & Milk Biscuits"
6432388,"Glucose, Marie & Milk Biscuits"
6432388,"Glucose, Marie & Milk Biscuits"
6432388,Healthy & Digestive Biscuits
6432388,Healthy & Digestive Biscuits
6432388,Healthy & Digestive Biscuits
6432388,Liquid Detergent
6432388,Liquid Soaps & Bars
6432388,Mosquito Repellent
6432388,Organic Dals & Pulses
6432388,Organic Dals & Pulses
6432388,Organic Dals & Pulses
6432388,Organic Dals & Pulses
6432388,Organic Dals & Pulses
6432388,Organic Edible Oils & Ghee
6432388,Organic F&V
6432388,Organic F&V
6432388,Organic Flours
6432388,Organic Flours
6432388,Organic Flours
6432388,Organic Juices
6432388,Organic Masalas & Spices
6432388,Organic Masalas & Spices
6432388,Organic Masalas & Spices
6432388,Organic Masalas & Spices
6432388,Organic Masalas & Spices
6432388,"Organic Salt,Sugar & Jaggery"
6432388,Other Dals
6432388,Toothpaste
6432398,Banana
6432398,Beans
6432398,Beans
6432398,Corn Snacks
6432398,Organic F&V
6432398,Other Vegetables
6432398,Root Vegetables
6432398,Sugar
6432607,Banana
6432607,Basmati Rice
6432607,Bread
6432607,Cakes
6432607,Mosquito Repellent
6432607,"Muffins, Cookies & Rusk"
6432607,Other Dals
6432607,Other Dals
6432607,Other Dals
6432607,Other Flours
6432607,Raw Peanuts
6432607,Raw Rice
6432607,Sugar
6432607,Sunflower Oils
6432607,Toor Dal
6432607,Urad Dal
6432607,Whole Spices
6432607,Whole Spices
6433243,Avalakki / Poha
6433243,Bakery & Breads
6433243,Basmati Rice
6433243,Corn Snacks
6433243,Health Supplements
6433243,Ice Creams & Desserts
6433243,Namkeen
6433243,Namkeen
6433243,Other Dals
6433243,Other Dals
6434110,Avalakki / Poha
6434110,Beans
6434110,Beans
6434110,Gourd & Cucumber
6434110,Raw Rice
6434110,Sooji & Rava
6434110,Sugar
6434110,Sunflower Oils
6434658,Hair Colors & Dyes
6434658,Organic Dry Fruits
6434658,Organic F&V
6434658,Root Vegetables
6435242,Avalakki / Poha
6435242,Besan
6435242,Maida
6435242,Other Dals
6435242,Other Dals
6435242,Other Dals
6435242,Other Dals
6435242,Other Dals
6435242,Other Rice Products
6435242,Raw Peanuts
6435242,Sugar
6435242,Toor Dal
6435242,Whole Spices
6437242,Other Sweets
6437242,Whole Spices
6437242,Whole Spices
6437610,Health Drinks
6437610,Organic Flours
6437610,Other Juices
6438819,Avalakki / Poha
6438819,Avalakki / Poha
6438819,Basmati Rice
6438819,Beans
6438819,Besan
6438819,Cashews
6438819,Cooking Paste
6438819,Gourd & Cucumber
6438819,Gourd & Cucumber
6438819,Jaggery
6438819,Maida
6438819,Moong Dal
6438819,Moong Dal
6438819,Organic Baby Foods
6438819,Organic Baby Foods
6438819,Organic Branded Foods
6438819,Other Dals
6438819,Other Dals
6438819,Other Dals
6438819,Other Dals
6438819,Other Dals
6438819,Other Flours
6438819,Other Rice Products
6438819,Other Sweets
6438819,Other Vegetables
6438819,Raisins
6438819,Raw Peanuts
6438819,Raw Rice
6438819,Rice Flour
6438819,Root Vegetables
6438819,Shampoo
6438819,Sooji & Rava
6438819,Sugar
6438819,Toor Dal
6438819,Urad Dal
6438819,Whole Spices
6438819,Whole Spices
6438819,Whole Spices
6438819,Whole Spices
6438819,Whole Spices
6438819,Whole Spices
6440032,Beans
6440032,Ground Coffee
6440032,Other Vegetables
6440048,Bread
6440048,Cream Biscuits
6440048,Cream Biscuits
6440048,Gourd & Cucumber
6440048,Other Vegetables
6440048,Other Vegetables
6440048,Root Vegetables
6440083,Avalakki / Poha
6440083,Besan
6440083,Boiled Rice
6440083,Boiled Rice
6440083,Cashews
6440083,Chinese Noodles
6440083,Cream Biscuits
6440083,Health Drinks
6440083,Honey
6440083,Moong Dal
6440083,Namkeen
6440083,Organic Masalas & Spices
6440083,Other Dals
6440083,Other Dals
6440083,Other Dals
6440083,Other Dals
6440083,Other Dals
6440083,Other Rice Products
6440083,Phenyles & Acids
6440083,Raw Rice
6440083,Regular Pasta
6440083,Sooji & Rava
6440083,Toor Dal
6440083,Urad Dal
6440083,Whole Spices
6440083,Whole Spices
6440083,Whole Spices
6440083,Whole Spices
6440133,Moong Dal
6440133,Moong Dal
6440133,Organic Dals & Pulses
6440133,Organic Dals & Pulses
6440133,Organic F&V
6440133,Other Dals
6440133,Other Dals
6440133,Other Dals
6440133,Shaving Blade & Razors
6440133,Urad Dal
6440133,Whole Spices
6440133,Whole Spices
6440133,Whole Spices
6440377,Banana
6440377,Curd
6440377,Eggs
6440377,Moong Dal
6440377,Other Dals
6440377,Root Vegetables
6440377,Toor Dal
6440679,Beans
6440679,Other Vegetables
6440679,Sugar
6440679,Toor Dal
6440860,Butter & Cream
6440860,Gourd & Cucumber
6440860,Moong Dal
6440860,Organic Rice & Rice Products
6440860,Other Dals
6440860,Other Dals
6440860,Other Dals
6440860,Other Vegetables
6440860,Other Vegetables
6440860,Whole Spices
6440860,Whole Spices
6441174,Cream Biscuits
6441174,Ghee
6441174,"Glucose, Marie & Milk Biscuits"
6441174,Moong Dal
6441174,Other Dals
6441174,Other Dals
6441174,Other Vegetables
6441174,Other Vegetables
6441174,Root Vegetables
6441174,Sugar
6441174,Tomato Ketchup
6441174,Urad Dal
6441174,Whole Spices
6441174,Whole Spices
6441494,Banana
6441494,Liquid Soaps & Bars
6441494,Organic F&V
6441494,Organic F&V
6441494,Organic Masalas & Spices
6441494,Organic Rice & Rice Products
6441494,Root Vegetables
6442197,Beans
6442197,Boiled Rice
6442197,Boiled Rice
6442197,Bread
6442197,Cashews
6442197,Exotic Vegetables
6442197,Moong Dal
6442197,Moong Dal
6442197,Organic F&V
6442197,Organic Rice & Rice Products
6442197,Other Rice Products
6442197,Other Vegetables
6442197,Other Vegetables
6442197,Root Vegetables
6442197,Root Vegetables
6442197,Whole Spices
6442244,Other Vegetables
6442244,Other Vegetables
6442244,Root Vegetables
6443749,Banana
6443749,Bread
6443749,Moong Dal
6443749,Organic Rice & Rice Products
6443749,Other Vegetables
6443749,Raw Rice
6443749,Sugar
6444876,Gourd & Cucumber
6444876,Health Drinks
6444876,Namkeen
6444876,Namkeen
6444876,Other Sweets
6444876,Other Vegetables
6444876,Root Vegetables
6445726,Banana
6445726,Chips
6445726,Chips
6445726,Corn Snacks
6445726,Moong Dal
6445726,Moong Dal
6445726,Other Vegetables
6445726,Root Vegetables
6446111,Avalakki / Poha
6446111,Besan
6446111,Exotic Vegetables
6446111,Face Wash
6446111,Gourd & Cucumber
6446111,Healthy & Digestive Biscuits
6446111,Maida
6446111,Moong Dal
6446111,Namkeen
6446111,Namkeen
6446111,Organic Dals & Pulses
6446111,Sooji & Rava
6446111,Whole Spices
6446317,Avalakki / Poha
6446317,Corn Snacks
6446317,Other Flours
6446317,Raw Peanuts
6446317,Raw Rice
6446317,Rice Flour
6446317,Root Vegetables
6446317,Shaving Blade & Razors
6446317,Sooji & Rava
6446317,Tomato Ketchup
6446525,Avalakki / Poha
6446525,Beans
6446525,Cashews
6446525,Cream Biscuits
6446525,"Glucose, Marie & Milk Biscuits"
6446525,Instant Noodles
6446525,Maida
6446525,Other Dals
6446525,Other Dals
6446525,Raw Peanuts
6446525,Raw Rice
6446525,Root Vegetables
6446525,Sooji & Rava
6446525,Sugar
6446525,Toor Dal
6446525,Urad Dal
6446525,Whole Spices
6446525,Whole Spices
6446525,Whole Spices
6447515,Beans
6447515,Gourd & Cucumber
6447515,Root Vegetables
6447657,Beans
6447657,Cakes
6447657,Cream Biscuits
6447657,Cream Biscuits
6447657,Cream Biscuits
6447657,Other Sweets
6447657,Other Vegetables
6447657,Root Vegetables
6447925,Beans
6447925,Beans
6447925,Bread
6447925,Other Vegetables
6447925,Root Vegetables
6447925,Root Vegetables
6447925,Sooji & Rava
6448093,Aluminium Foil & Cling Wrap
6448093,Bread
6448093,Other Vegetables
6448093,Root Vegetables
6448093,Toor Dal
6448115,Other Vegetables
6448115,Sunflower Oils
6448652,Avalakki / Poha
6448652,Beans
6448652,Besan
6448652,Maida
6448652,Moong Dal
6448652,Organic F&V
6448652,Organic Flours
6448652,Organic Rice & Rice Products
6448652,Other Rice Products
6448652,Other Rice Products
6448652,Raw Rice
6448652,Sunflower Oils
6448652,Urad Dal
6448838,Beans
6448838,Root Vegetables
6448977,Bread
6448977,Healthy & Digestive Biscuits
6448977,Packaged Drinking Water
6448977,Raw Rice
6449263,Organic Dals & Pulses
6449263,Organic F&V
6449263,Organic F&V
6449558,Bread
6449558,Maida
6449558,Root Vegetables
6449558,Whole Spices
6449840,Other Dals
6449840,Other Vegetables
6449840,Other Vegetables
6449840,Soya Products
6449840,Sugar
6450482,Health Drinks
6450482,Raw Rice
6450482,Raw Rice
6450482,Sugar
6450482,Whole Spices
6456840,Banana
6456840,Beans
6456840,Chips
6456840,Organic Juices
6456840,Other Sweets
6456840,Root Vegetables
6456840,Urad Dal
6456889,Beans
6456889,Beans
6456889,Cooking Sauce
6456889,Organic F&V
6456889,Other Dals
6456889,Other Dals
6456889,Other Sweets
6456889,Raw Rice
6456895,Banana
6456895,Beans
6456895,Healthy & Digestive Biscuits
6456895,Namkeen
6456895,Namkeen
6456895,Other Sweets
6456895,Ready Baking Mixes
6456895,Root Vegetables
6456895,Sooji & Rava
6457074,Eggs
6457074,Exotic Vegetables
6457074,Other Dals
6457074,Root Vegetables
6457074,Root Vegetables
6457164,Bread
6457164,Organic F&V
6457164,Other Sweets
6457294,Eggs
6457294,Milk
6457294,Mosquito Repellent
6457294,Organic Rice & Rice Products
6457294,Other Sweets
6457294,Other Vegetables
6457294,Raw Rice
6457294,Root Vegetables
6457294,Sunflower Oils
6457656,Avalakki / Poha
6457656,Banana
6457656,Basmati Rice
6457656,Beans
6457656,Body Wash
6457656,Flakes
6457656,Health Supplements
6457656,Home & Air Freshener
6457656,Instant Noodles
6457656,Liquid Soaps & Bars
6457656,Liquid Soaps & Bars
6457656,Moong Dal
6457656,Moong Dal
6457656,Moong Dal
6457656,Mouthwash
6457656,Namkeen
6457656,Namkeen
6457656,Namkeen
6457656,Namkeen
6457656,Namkeen
6457656,Namkeen
6457656,Namkeen
6457656,Other Dals
6457656,Other Dals
6457656,Other Dals
6457656,Other Dals
6457656,Other Dals
6457656,Other Rice Products
6457656,Other Sweets
6457656,Root Vegetables
6457656,Whole Spices
6457691,Banana
6457691,Organic Rice & Rice Products
6457691,Other Sweets
6457815,Banana
6457815,Namkeen
6457815,Other Dals
6457815,Other Sweets
6457815,Root Vegetables
6457815,Snacky Nuts
6457822,Beans
6457822,Besan
6457822,Chips
6457822,"Glucose, Marie & Milk Biscuits"
6457822,Moong Dal
6457822,Moong Dal
6457822,Organic F&V
6457822,Organic F&V
6457822,Other Dals
6457822,Other Dals
6457822,Other Sweets
6457822,Root Vegetables
6457822,Urad Dal
6458149,Chips
6458149,Chips
6458149,Chips
6458149,Health Drinks
6458149,Instant Pastas
6458149,Instant Pastas
6458149,Other Sweets
6458149,Packaged Drinking Water
6458246,Banana
6458246,Hair Colors & Dyes
6458246,Other Sweets
6458246,Other Vegetables
6458575,Cream Biscuits
6458575,Other Dals
6458575,Other Sweets
6458575,Sooji & Rava
6458642,Beans
6458642,Beans
6458642,Other Sweets
6458642,Root Vegetables
6458698,Beans
6458698,Bread
6458698,Cream Biscuits
6458698,Cream Biscuits
6458698,Gourd & Cucumber
6458698,Other Sweets
6458698,Other Vegetables
6458698,Root Vegetables
6458698,Toor Dal
6458799,Beans
6458799,Moong Dal
6458799,Mosquito Repellent
6458799,Mosquito Repellent
6458799,Other Sweets
6458799,Other Vegetables
6458799,Raw Rice
6458799,Shaving Blade & Razors
6458799,Toor Dal
6458799,Whole Spices
6459116,Beans
6459116,Gourd & Cucumber
6459116,Other Vegetables
6459116,Root Vegetables
6459384,Beans
6459384,Beans
6459384,Organic Branded Foods
6459384,Organic Masalas & Spices
6459384,Other Sweets
6459384,Root Vegetables
6459855,Beans
6459855,Bread
6459855,Exotic Vegetables
6459855,Exotic Vegetables
6459855,Namkeen
6459855,Other Dals
6459855,Other Pickle
6459855,Other Sweets
6459855,Other Vegetables
6459855,Other Vegetables
6459855,Root Vegetables
6459855,Root Vegetables
6459855,Urad Dal
6460352,Bread
6460352,Cooking Paste
6460352,Gourd & Cucumber
6460352,Other Sweets
6460352,Other Vegetables
6460352,Root Vegetables
6460352,Toor Dal
6460508,Besan
6460508,Cashews
6460508,Other Sweets
6460508,Regular Pasta
6460508,Sooji & Rava
6460796,Gourd & Cucumber
6460796,Organic Rice & Rice Products
6460796,Other Sweets
6460796,Other Vegetables
6460796,Other Vegetables
6461395,Banana
6461395,Chips
6461395,Other Sweets
6461395,Other Vegetables
6461986,Banana
6461986,Curd
6461986,"Glucose, Marie & Milk Biscuits"
6461986,Other Sweets
6461986,Whole Grains
6463058,Beans
6463058,Gourd & Cucumber
6463058,Ground Coffee
6463058,Mosquito Repellent
6463058,Other Sweets
6463058,Other Vegetables
6463058,Other Vegetables
6463058,Root Vegetables
6463058,Root Vegetables
6463058,Sooji & Rava
6463058,Whole Spices
6463554,Cream Biscuits
6463554,Other Sweets
6463554,Other Vegetables
6463643,"Glucose, Marie & Milk Biscuits"
6463643,Moong Dal
6463643,Other Sweets
6463643,Raw Rice
6463643,Toor Dal
6464883,Other Pickle
6464883,Other Sweets
6464883,Other Vegetables
6465067,Organic F&V
6465067,Organic Rice & Rice Products
6465067,Other Sweets
6465231,Beans
6465231,Beans
6465231,Bread
6465231,Other Sweets
6465231,Other Vegetables
6465231,Root Vegetables
6465340,Beans
6465340,Gourd & Cucumber
6465340,Health Drinks
6465340,Oats
6465340,Other Sweets
6465340,Other Vegetables
6465340,Raw Peanuts
6465340,Whole Spices
6465410,Beans
6465410,Gourd & Cucumber
6465410,Namkeen
6465410,Other Sweets
6465410,Other Vegetables
6465410,Root Vegetables
6465410,Root Vegetables
6465516,Root Vegetables
6465552,Raw Rice
6465602,Banana
6465602,Beans
6465602,Beans
6465602,Besan
6465602,Health Drinks
6465602,Namkeen
6465602,Other Dry Fruits
6465727,Banana
6465727,Beans
6465727,Beans
6465727,Boiled Rice
6465727,Cooking Paste
6465727,Ghee
6465727,Health Drinks
6465727,Organic Masalas & Spices
6465727,Other Rice Products
6465727,Other Rice Products
6465727,Other Sweets
6465727,Root Vegetables
6465727,Root Vegetables
6465727,Whole Spices
6465727,Whole Spices
6465880,Beans
6465880,Beans
6465880,Gourd & Cucumber
6465880,Other Sweets
6465880,Other Vegetables
6465880,Other Vegetables
6465880,Root Vegetables
6465880,Root Vegetables
6465880,Whole Spices
6466337,Besan
6466337,Bread
6466337,Cooking Sauce
6466337,Moong Dal
6466337,Moong Dal
6466337,Organic Dry Fruits
6466337,Other Dals
6466337,Other Dals
6466337,Other Dals
6466337,Other Dry Fruits
6466337,Other Dry Fruits
6466337,Other Sweets
6466337,Other Vegetables
6466337,Root Vegetables
6466337,Urad Dal
6466337,Whole Spices
6466374,Banana
6467195,Organic Dals & Pulses
6467195,Organic F&V
6467195,Organic F&V
6467195,Organic Flours
6467195,Organic Rice & Rice Products
6467195,Organic Rice & Rice Products
6467195,Organic Rice & Rice Products
6467195,Other Rice Products
6467195,Other Sweets
6467195,Other Vegetables
6467195,Root Vegetables
6467661,Bread
6467661,Exotic Vegetables
6467661,"Glucose, Marie & Milk Biscuits"
6467661,Other Sweets
6467661,Other Vegetables
6467661,Root Vegetables
6467666,Beans
6467666,Boiled Rice
6467666,Other Sweets
6467666,Shampoo
6467666,Sooji & Rava
6467666,Sugar
6467667,Banana
6467667,Beans
6467667,Other Dals
6467667,Other Sweets
6467667,Other Vegetables
6467667,Root Vegetables
6467810,Aluminium Foil & Cling Wrap
6467810,Basmati Rice
6467810,Besan
6467810,Bread
6467810,Cookies
6467810,Moong Dal
6467810,Namkeen
6467810,Namkeen
6467810,Other Vegetables
6467810,Urad Dal
6467906,Basmati Rice
6467906,Bread
6467906,Namkeen
6467906,Other Sweets
6467906,Packaged Drinking Water
6467906,Raisins
6467906,Raw Rice
6468002,Beans
6468002,Beans
6468002,Cashews
6468002,Gourd & Cucumber
6468002,Other Rice Products
6468002,Other Sweets
6468002,Other Vegetables
6468002,Other Vegetables
6468002,Root Vegetables
6468002,Root Vegetables
6468002,Sooji & Rava
6468002,Sugar
6468765,Banana
6468765,Bread
6468765,Cooking Sauce
6468765,Cream Biscuits
6468765,Namkeen
6469259,Bakery & Breads
6469259,Beans
6469259,Cookies
6469259,Ground Coffee
6469259,Other Dals
6469259,Other Sweets
6469259,Raw Rice
6469259,Tomato Ketchup
6469259,Whole Spices
6469295,Banana
6469295,Cashews
6469295,Namkeen
6469295,Namkeen
6469295,Other Dals
6469295,Other Dals
6469295,Other Rice Products
6469295,Other Rice Products
6469295,Other Sauces
6469295,Other Sweets
6469295,Sugar
6469295,Sugar Cubes
6470720,Banana
6470720,Gourd & Cucumber
6470720,Raw Rice
6470720,Root Vegetables
6470720,Root Vegetables
6470720,Toor Dal
6471001,Bread
6471001,Exotic Vegetables
6471001,Exotic Vegetables
6471001,Gourd & Cucumber
6471001,Other Sweets
6471001,Other Vegetables
6471001,Root Vegetables
6471001,Sooji & Rava
6471293,Cookies
6471293,Cookies
6471293,Healthy & Digestive Biscuits
6471293,Moong Dal
6471293,Moong Dal
6471293,Organic Masalas & Spices
6471293,Other Dry Fruits
6471293,Other Rice Products
6471293,Other Sweets
6471293,Other Vegetables
6471293,Root Vegetables
6471321,Health Drinks
6471321,Other Sauces
6471321,Other Sauces
6471321,Whole Spices
6471321,Whole Spices
6471321,Whole Spices
6471605,Cream Biscuits
6471605,Namkeen
6471605,Namkeen
6471605,Namkeen
6471605,Organic F&V
6471605,Other Juices
6471605,Other Sweets
6471605,Regular Pasta
6472221,Healthy & Digestive Biscuits
6472221,Other Rice Products
6472221,Other Sweets
6472221,Raisins
6472278,Boiled Rice
6472278,Other Dals
6472278,Other Sweets
6472278,Raw Peanuts
6472278,Sunflower Oils
6472278,Toor Dal
6472350,Bread
6472350,Other Sweets
6472350,Snacky Nuts
6472591,Banana
6472591,Basmati Rice
6472591,Beans
6472591,Beans
6472591,Beans
6472591,Organic F&V
6472591,Organic F&V
6472591,Other Vegetables
6472591,Root Vegetables
6472591,Sooji & Rava
6473179,Banana
6473179,Cashews
6473179,Gourd & Cucumber
6473179,Liquid Soaps & Bars
6473179,Organic Masalas & Spices
6473179,Other Vegetables
6473179,Raw Rice
6473179,Root Vegetables
6474872,Avalakki / Poha
6474872,Cashews
6474872,Exotic Vegetables
6474872,Exotic Vegetables
6474872,Moong Dal
6474872,Namkeen
6474872,Organic F&V
6474872,Other Dals
6474872,Other Dry Fruits
6474872,Other Flours
6474872,Other Sweets
6474872,Pasta & Noodles
6474872,Pre & Post Wash Care
6474872,Sooji & Rava
6474872,Urad Dal
6475278,"Glucose, Marie & Milk Biscuits"
6475278,Whole Spices
6475608,Beans
6475608,Root Vegetables
6475608,Root Vegetables
6475988,Beans
6475988,Beans
6475988,Beans
6475988,Instant Pastas
6475988,Instant Pastas
6475988,Moong Dal
6475988,Other Dals
6475988,Raw Peanuts
6475988,Root Vegetables
6475988,Whole Spices
6475988,Whole Spices
6475988,Whole Spices
6476094,Avalakki / Poha
6476094,Avalakki / Poha
6476094,Banana
6476094,Beans
6476094,Moong Dal
6476094,Other Dals
6476094,Other Dals
6476094,Other Pooja Needs
6476094,Other Vegetables
6476094,Raisins
6476094,Root Vegetables
6476094,Toor Dal
6476094,Whole Spices
6476094,Whole Spices
6476486,Cut Vegetables
6476486,Exotic Vegetables
6476486,Healthy & Digestive Biscuits
6476493,Other Sweets
6476493,Raw Peanuts
6476493,Sugar
6476493,Whole Spices
6476493,Whole Spices
6476493,Whole Spices
6476514,Beans
6476514,Organic Dry Fruits
6476514,Other Sweets
6476514,Other Vegetables
6476514,Other Vegetables
6476514,Root Vegetables
6477330,Ground Coffee
6477330,Mango Juices
6477530,Avalakki / Poha
6477530,Colours 
6477530,Honey
6477530,Honey
6477530,Other Dals
6477530,Raisins
6477530,Raisins
6477530,"Scissors, Glue & Tape"
6477530,Whole Spices
6477530,Whole Spices
6477530,Whole Spices
6478370,Banana
6478370,Beans
6478370,Other Vegetables
6478370,Other Vegetables
6478370,Toothpaste
6478370,Whole Spices
6478370,Whole Spices
6478370,Whole Spices
6478525,Beans
6478525,Bread
6478525,Sugar
6478956,Banana
6478956,Cream Biscuits
6478956,Organic F&V
6478956,Organic F&V
6478956,Other Sweets
6478956,Other Vegetables
6478956,Root Vegetables
6478956,Sunflower Oils
6478956,Veg & Fruit
6479057,Banana
6479057,Cleaning & Dust Cloth
6479057,Other Vegetables
6479057,Other Vegetables
6479111,Health Supplements
6479279,Banana
6479279,Beans
6479279,Cooking Paste
6479279,Cooking Paste
6479279,Frozen Chicken
6479279,Health Drinks
6479279,Moong Dal
6479279,Other Vegetables
6479279,Raw Rice
6479279,Root Vegetables
6479279,Root Vegetables
6479279,Whole Spices
6479279,Whole Spices
6479279,Whole Spices
6480019,Drain Cleaners
6480019,Hair Colors & Dyes
6480019,Mosquito Repellent
6480019,Other Sweets
6480019,Other Vegetables
6480019,Root Vegetables
6480019,Root Vegetables
6480019,Shampoo
6480019,Sooji & Rava
6480418,Organic Dals & Pulses
6480418,Organic F&V
6480418,Organic F&V
6480418,Other Rice Products
6480418,Raisins
6480418,Root Vegetables
6480418,Sooji & Rava
6480418,Sooji & Rava
6480418,Sugar
6480639,Avalakki / Poha
6480639,Liquid Soaps & Bars
6480639,Other Dals
6480639,Other Dals
6480639,Other Rice Products
6480639,Other Sweets
6480639,Powdered Spices
6480639,Raw Rice
6480639,Rice Flour
6480639,Sugar
6480639,Toor Dal
6480639,Urad Dal
6480639,Whole Spices
6480774,Cream Biscuits
6480774,Cream Biscuits
6480774,Healthy & Digestive Biscuits
6481141,Banana
6481141,Besan
6481141,Drain Cleaners
6481141,Healthy & Digestive Biscuits
6481141,Moong Dal
6481141,Namkeen
6481141,Namkeen
6481141,Namkeen
6481141,Namkeen
6481141,Namkeen
6481141,Organic F&V
6481141,Other Dals
6481141,Other Dals
