boiled rice, health drinks, mosquito repellent, other rice products, raw rice, root vegetables, sugar,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, beans, gourd / cucumber, other sweets, other vegetables, root vegetables, sunflower oils, toor dal, whole spices,,,,,,,,,,,,,,,,,,,
avalakki / poha, bakery / breads, basmati rice, corn snacks, health supplements, ice creams / desserts, namkeen, other dals,,,,,,,,,,,,,,,,,,,,
avalakki / poha, beans, gourd / cucumber, raw rice, sooji / rava, sugar, sunflower oils,,,,,,,,,,,,,,,,,,,,,
hair colors / dyes, organic dry fruits, organic f/v, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, besan, maida, other dals, other rice products, raw peanuts, sugar, toor dal, whole spices,,,,,,,,,,,,,,,,,,,
other sweets, whole spices,,,,,,,,,,,,,,,,,,,,,,,,,,
health drinks, organic flours, other juices,,,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, basmati rice, beans, besan, cashews, cooking paste, gourd / cucumber, jaggery, maida, moong dal, organic baby foods, organic branded foods, other dals, other flours, other rice products, other sweets, other vegetables, raisins, raw peanuts, raw rice, rice flour, root vegetables, shampoo, sooji / rava, sugar, toor dal, urad dal, whole spices
beans, ground coffee, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
bread, cream biscuits, gourd / cucumber, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, besan, boiled rice, cashews, chinese noodles, cream biscuits, health drinks, honey, moong dal, namkeen, organic masalas / spices, other dals, other rice products, phenyles / acids, raw rice, regular pasta, sooji / rava, toor dal, urad dal, whole spices,,,,,,,,
moong dal, organic dals / pulses, organic f/v, other dals, shaving blade / razors, urad dal, whole spices,,,,,,,,,,,,,,,,,,,,,
banana, curd, eggs, moong dal, other dals, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,,
beans, other vegetables, sugar, toor dal,,,,,,,,,,,,,,,,,,,,,,,,
butter / cream, gourd / cucumber, moong dal, organic rice / rice products, other dals, other vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,
cream biscuits, ghee, glucose, marie / milk biscuits, moong dal, other dals, other vegetables, root vegetables, sugar, tomato ketchup, urad dal, whole spices,,,,,,,,,,,,,,,,
banana, liquid soaps / bars, organic f/v, organic masalas / spices, organic rice / rice products, root vegetables,,,,,,,,,,,,,,,,,,,,,,
beans, boiled rice, bread, cashews, exotic vegetables, moong dal, organic f/v, organic rice / rice products, other rice products, other vegetables, root vegetables, whole spices,,,,,,,,,,,,,,,,
other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, bread, moong dal, organic rice / rice products, other vegetables, raw rice, sugar,,,,,,,,,,,,,,,,,,,,,
gourd / cucumber, health drinks, namkeen, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,
banana, chips, corn snacks, moong dal, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, besan, exotic vegetables, face wash, gourd / cucumber, healthy / digestive biscuits, maida, moong dal, namkeen, organic dals / pulses, sooji / rava, whole spices,,,,,,,,,,,,,,,,
avalakki / poha, corn snacks, other flours, raw peanuts, raw rice, rice flour, root vegetables, shaving blade / razors, sooji / rava, tomato ketchup,,,,,,,,,,,,,,,,,,
avalakki / poha, beans, cashews, cream biscuits, glucose, marie / milk biscuits, instant noodles, maida, other dals, raw peanuts, raw rice, root vegetables, sooji / rava, sugar, toor dal, urad dal, whole spices,,,,,,,,,,,
beans, gourd / cucumber, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
beans, cakes, cream biscuits, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,
beans, bread, other vegetables, root vegetables, sooji / rava,,,,,,,,,,,,,,,,,,,,,,,
aluminium foil / cling wrap, bread, other vegetables, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,,,,
other vegetables, sunflower oils,,,,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, beans, besan, maida, moong dal, organic f/v, organic flours, organic rice / rice products, other rice products, raw rice, sunflower oils, urad dal,,,,,,,,,,,,,,,,
beans, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
bread, healthy / digestive biscuits, packaged drinking water, raw rice,,,,,,,,,,,,,,,,,,,,,,,,
organic dals / pulses, organic f/v,,,,,,,,,,,,,,,,,,,,,,,,,,
bread, maida, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,,,,
other dals, other vegetables, soya products, sugar,,,,,,,,,,,,,,,,,,,,,,,,
health drinks, raw rice, sugar, whole spices,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, chips, organic juices, other sweets, root vegetables, urad dal,,,,,,,,,,,,,,,,,,,,,
beans, cooking sauce, organic f/v, other dals, other sweets, raw rice,,,,,,,,,,,,,,,,,,,,,,
banana, beans, healthy / digestive biscuits, namkeen, other sweets, ready baking mixes, root vegetables, sooji / rava,,,,,,,,,,,,,,,,,,,,
eggs, exotic vegetables, other dals, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
bread, organic f/v, other sweets,,,,,,,,,,,,,,,,,,,,,,,,,
eggs, milk, mosquito repellent, organic rice / rice products, other sweets, other vegetables, raw rice, root vegetables, sunflower oils,,,,,,,,,,,,,,,,,,,
avalakki / poha, banana, basmati rice, beans, body wash, flakes, health supplements, home / air freshener, instant noodles, liquid soaps / bars, moong dal, mouthwash, namkeen, other dals, other rice products, other sweets, root vegetables, whole spices,,,,,,,,,,
banana, organic rice / rice products, other sweets,,,,,,,,,,,,,,,,,,,,,,,,,
banana, namkeen, other dals, other sweets, root vegetables, snacky nuts,,,,,,,,,,,,,,,,,,,,,,
beans, besan, chips, glucose, marie / milk biscuits, moong dal, organic f/v, other dals, other sweets, root vegetables, urad dal,,,,,,,,,,,,,,,,,
chips, health drinks, instant pastas, other sweets, packaged drinking water,,,,,,,,,,,,,,,,,,,,,,,
banana, hair colors / dyes, other sweets, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,
cream biscuits, other dals, other sweets, sooji / rava,,,,,,,,,,,,,,,,,,,,,,,,
beans, other sweets, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
beans, bread, cream biscuits, gourd / cucumber, other sweets, other vegetables, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,
beans, moong dal, mosquito repellent, other sweets, other vegetables, raw rice, shaving blade / razors, toor dal, whole spices,,,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
beans, organic branded foods, organic masalas / spices, other sweets, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
beans, bread, exotic vegetables, namkeen, other dals, other pickle, other sweets, other vegetables, root vegetables, urad dal,,,,,,,,,,,,,,,,,,
bread, cooking paste, gourd / cucumber, other sweets, other vegetables, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,,
besan, cashews, other sweets, regular pasta, sooji / rava,,,,,,,,,,,,,,,,,,,,,,,
gourd / cucumber, organic rice / rice products, other sweets, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,
banana, chips, other sweets, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,
banana, curd, glucose, marie / milk biscuits, other sweets, whole grains,,,,,,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, ground coffee, mosquito repellent, other sweets, other vegetables, root vegetables, sooji / rava, whole spices,,,,,,,,,,,,,,,,,,,
cream biscuits, other sweets, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
glucose, marie / milk biscuits, moong dal, other sweets, raw rice, toor dal,,,,,,,,,,,,,,,,,,,,,,
other pickle, other sweets, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
organic f/v, organic rice / rice products, other sweets,,,,,,,,,,,,,,,,,,,,,,,,,
beans, bread, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, health drinks, oats, other sweets, other vegetables, raw peanuts, whole spices,,,,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, namkeen, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw rice,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, besan, health drinks, namkeen, other dry fruits,,,,,,,,,,,,,,,,,,,,,,
banana, beans, boiled rice, cooking paste, ghee, health drinks, organic masalas / spices, other rice products, other sweets, root vegetables, whole spices,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, other sweets, other vegetables, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,,
besan, bread, cooking sauce, moong dal, organic dry fruits, other dals, other dry fruits, other sweets, other vegetables, root vegetables, urad dal, whole spices,,,,,,,,,,,,,,,,
banana,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic dals / pulses, organic f/v, organic flours, organic rice / rice products, other rice products, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,
bread, exotic vegetables, glucose, marie / milk biscuits, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,
beans, boiled rice, other sweets, shampoo, sooji / rava, sugar,,,,,,,,,,,,,,,,,,,,,,
banana, beans, other dals, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,
aluminium foil / cling wrap, basmati rice, besan, bread, cookies, moong dal, namkeen, other vegetables, urad dal,,,,,,,,,,,,,,,,,,,
basmati rice, bread, namkeen, other sweets, packaged drinking water, raisins, raw rice,,,,,,,,,,,,,,,,,,,,,
beans, cashews, gourd / cucumber, other rice products, other sweets, other vegetables, root vegetables, sooji / rava, sugar,,,,,,,,,,,,,,,,,,,
banana, bread, cooking sauce, cream biscuits, namkeen,,,,,,,,,,,,,,,,,,,,,,,
bakery / breads, beans, cookies, ground coffee, other dals, other sweets, raw rice, tomato ketchup, whole spices,,,,,,,,,,,,,,,,,,,
banana, cashews, namkeen, other dals, other rice products, other sauces, other sweets, sugar, sugar cubes,,,,,,,,,,,,,,,,,,,
banana, gourd / cucumber, raw rice, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,,,,
bread, exotic vegetables, gourd / cucumber, other sweets, other vegetables, root vegetables, sooji / rava,,,,,,,,,,,,,,,,,,,,,
cookies, healthy / digestive biscuits, moong dal, organic masalas / spices, other dry fruits, other rice products, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,
health drinks, other sauces, whole spices,,,,,,,,,,,,,,,,,,,,,,,,,
cream biscuits, namkeen, organic f/v, other juices, other sweets, regular pasta,,,,,,,,,,,,,,,,,,,,,,
healthy / digestive biscuits, other rice products, other sweets, raisins,,,,,,,,,,,,,,,,,,,,,,,,
boiled rice, other dals, other sweets, raw peanuts, sunflower oils, toor dal,,,,,,,,,,,,,,,,,,,,,,
bread, other sweets, snacky nuts,,,,,,,,,,,,,,,,,,,,,,,,,
banana, basmati rice, beans, organic f/v, other vegetables, root vegetables, sooji / rava,,,,,,,,,,,,,,,,,,,,,
banana, cashews, gourd / cucumber, liquid soaps / bars, organic masalas / spices, other vegetables, raw rice, root vegetables,,,,,,,,,,,,,,,,,,,,
avalakki / poha, cashews, exotic vegetables, moong dal, namkeen, organic f/v, other dals, other dry fruits, other flours, other sweets, pasta / noodles, pre / post wash care, sooji / rava, urad dal,,,,,,,,,,,,,,
glucose, marie / milk biscuits, whole spices,,,,,,,,,,,,,,,,,,,,,,,,,
beans, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
beans, instant pastas, moong dal, other dals, raw peanuts, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, banana, beans, moong dal, other dals, other pooja needs, other vegetables, raisins, root vegetables, toor dal, whole spices,,,,,,,,,,,,,,,,,
cut vegetables, exotic vegetables, healthy / digestive biscuits,,,,,,,,,,,,,,,,,,,,,,,,,
other sweets, raw peanuts, sugar, whole spices,,,,,,,,,,,,,,,,,,,,,,,,
beans, organic dry fruits, other sweets, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
ground coffee, mango juices,,,,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, colours , honey, other dals, raisins, scissors, glue / tape, whole spices,,,,,,,,,,,,,,,,,,,,
banana, beans, other vegetables, toothpaste, whole spices,,,,,,,,,,,,,,,,,,,,,,,
beans, bread, sugar,,,,,,,,,,,,,,,,,,,,,,,,,
banana, cream biscuits, organic f/v, other sweets, other vegetables, root vegetables, sunflower oils, veg / fruit,,,,,,,,,,,,,,,,,,,,
banana, cleaning / dust cloth, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
health supplements,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, cooking paste, frozen chicken, health drinks, moong dal, other vegetables, raw rice, root vegetables, whole spices,,,,,,,,,,,,,,,,,,
drain cleaners, hair colors / dyes, mosquito repellent, other sweets, other vegetables, root vegetables, shampoo, sooji / rava,,,,,,,,,,,,,,,,,,,,
organic dals / pulses, organic f/v, other rice products, raisins, root vegetables, sooji / rava, sugar,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, liquid soaps / bars, other dals, other rice products, other sweets, powdered spices, raw rice, rice flour, sugar, toor dal, urad dal, whole spices,,,,,,,,,,,,,,,,
cream biscuits, healthy / digestive biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, besan, drain cleaners, healthy / digestive biscuits, moong dal, namkeen, organic f/v, other dals, other sweets, other vegetables, raw peanuts, root vegetables, sooji / rava, sugar, toor dal, whole spices,,,,,,,,,,,,
bread, exotic vegetables, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
banana, besan,,,,,,,,,,,,,,,,,,,,,,,,,,
beans, exotic vegetables, organic f/v, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
beans, cream biscuits, gourd / cucumber, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
banana, mosquito repellent, namkeen, snacky nuts,,,,,,,,,,,,,,,,,,,,,,,,
corn snacks, liquid soaps / bars, moong dal, namkeen, other dals, other vegetables, paneer / tofu,,,,,,,,,,,,,,,,,,,,,
gourd / cucumber, honey, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
organic dals / pulses, organic rice / rice products, sooji / rava, sunflower oils, whole spices,,,,,,,,,,,,,,,,,,,,,,,
banana, boiled rice, other oils,,,,,,,,,,,,,,,,,,,,,,,,,
beans, organic f/v, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
beans, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
cream biscuits, ice creams / desserts, organic rice / rice products, other vegetables, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,,
liquid soaps / bars, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
organic f/v, organic masalas / spices, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
oats, organic dry fruits, other rice products,,,,,,,,,,,,,,,,,,,,,,,,,
other dals,,,,,,,,,,,,,,,,,,,,,,,,,,,
honey, other sweets,,,,,,,,,,,,,,,,,,,,,,,,,,
organic f/v,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiled rice, cakes, other dals, other rice products, toor dal, utensil scrub pads,,,,,,,,,,,,,,,,,,,,,,
bread, packaged drinking water, toothpaste,,,,,,,,,,,,,,,,,,,,,,,,,
beans, honey, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,,,,,
beans, other rice products, other sweets, other vegetables, raw rice, sugar, toor dal,,,,,,,,,,,,,,,,,,,,,
besan, boiled rice, ground coffee, namkeen,,,,,,,,,,,,,,,,,,,,,,,,
ghee, organic dals / pulses, organic flours, organic rice / rice products,,,,,,,,,,,,,,,,,,,,,,,,
besan, chips, organic f/v, other dals, root vegetables, snacky nuts, sooji / rava, whole spices,,,,,,,,,,,,,,,,,,,,
beans, exotic vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium foil / cling wrap, bread, cream biscuits, other dry fruits, other oils, other vegetables,,,,,,,,,,,,,,,,,,,,,,
chips, cut vegetables, liquid soaps / bars, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
beans, butter / cream, cashews, chips, corn snacks, exotic vegetables, jams / sauces, root vegetables,,,,,,,,,,,,,,,,,,,,
banana, beans, exotic vegetables, milk drinks, organic f/v, other vegetables, ready baking mixes, root vegetables,,,,,,,,,,,,,,,,,,,,
beans, besan, cashews, glucose, marie / milk biscuits, gourd / cucumber, hair oil, raisins, sugar, sugar cubes, whole spices,,,,,,,,,,,,,,,,,
aluminium foil / cling wrap, banana, beans, ghee, muffins, cookies / rusk, organic f/v, raw peanuts, root vegetables, snacky nuts,,,,,,,,,,,,,,,,,,
bread, gourd / cucumber, other dals, other vegetables, sugar, whole spices,,,,,,,,,,,,,,,,,,,,,,
beans, besan, maida, other dry fruits, other vegetables, raw rice, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,
gourd / cucumber, health supplements, moong dal, namkeen, other vegetables, sugar, urad dal, whole spices,,,,,,,,,,,,,,,,,,,,
bread, organic rice / rice products, raw rice,,,,,,,,,,,,,,,,,,,,,,,,,
organic f/v,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, exotic vegetables, moong dal, namkeen, organic f/v, other dals, other pickle, other vegetables, root vegetables, toor dal, whole spices,,,,,,,,,,,,,,,,
cashews, ground coffee, other dry fruits, other vegetables, raisins, rice flour, root vegetables,,,,,,,,,,,,,,,,,,,,,
bakery / breads, chips, curd, eggs, exotic vegetables, other dals, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,,
ayurvedic food, chips, other dals, other vegetables, raw peanuts, whole spices,,,,,,,,,,,,,,,,,,,,,,
beans, boiled rice, exotic vegetables, organic dals / pulses, organic f/v, other dry fruits, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
chips, eggs, flakes, gourd / cucumber, organic dals / pulses, organic flours, organic salt,sugar / jaggery, other rice products, root vegetables,,,,,,,,,,,,,,,,,,
gourd / cucumber, other oils, urad dal, whole spices,,,,,,,,,,,,,,,,,,,,,,,,
boiled rice, moong dal, organic flours, other dals, other vegetables, toor dal, urad dal, whole spices,,,,,,,,,,,,,,,,,,,,
beans, chips, healthy / digestive biscuits, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,,,
chips, honey, namkeen,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, chips, health drinks, liquid soaps / bars, muffins, cookies / rusk,,,,,,,,,,,,,,,,,,,,,
besan, exotic vegetables, sooji / rava, sunflower oils,,,,,,,,,,,,,,,,,,,,,,,,
bread, health drinks, root vegetables, sunflower oils, toor dal,,,,,,,,,,,,,,,,,,,,,,,
beans, other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, curd, frozen veg food, moong dal, other vegetables, raw peanuts, root vegetables, yogurt / lassi,,,,,,,,,,,,,,,,,,,
chips, raw rice, sunflower oils,,,,,,,,,,,,,,,,,,,,,,,,,
banana, beans, cashews, chips, cream biscuits, ice creams / desserts, other dals, other vegetables, root vegetables, sooji / rava, soya products,,,,,,,,,,,,,,,,,
bakery / breads, banana, bread, chips, cookies, corn snacks, other vegetables, toor dal,,,,,,,,,,,,,,,,,,,,
beans, cream biscuits, gourd / cucumber, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
milk, organic f/v, sugar,,,,,,,,,,,,,,,,,,,,,,,,,
chips, gourd / cucumber, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,,,,
aluminium foil / cling wrap, beans, chips, gourd / cucumber, other dals, sugar, sunflower oils,,,,,,,,,,,,,,,,,,,,,
organic rice / rice products, other vegetables, paneer / tofu, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
bread, jaggery, root vegetables, sugar, whole spices, yogurt / lassi,,,,,,,,,,,,,,,,,,,,,,
banana, beans, exotic vegetables, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
chips, exotic vegetables, jaggery, other dals, other vegetables, sugar, toor dal,,,,,,,,,,,,,,,,,,,,,
besan, bread, chips, packaged drinking water, raw rice, shaving blade / razors, shaving cream, foam / gels, whole spices,,,,,,,,,,,,,,,,,,,
cashews, cut vegetables, face wash, home / air freshener, other dals, other vegetables, raw peanuts, sunflower oils, toor dal,,,,,,,,,,,,,,,,,,,
banana, chips, ghee, organic dals / pulses, organic dry fruits, organic f/v, organic flours, organic juices, organic masalas / spices, organic rice / rice products, other vegetables, toffee / candy,,,,,,,,,,,,,,,,
banana, beans, root vegetables, snacky nuts,,,,,,,,,,,,,,,,,,,,,,,,
banana,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, chips, exotic vegetables, health drinks, honey, jaggery, raw peanuts, root vegetables, sugar,,,,,,,,,,,,,,,,,,,
chips, exotic vegetables, moong dal, other dals, urad dal,,,,,,,,,,,,,,,,,,,,,,,
besan,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiled rice, chips, jaggery, other dals, raisins, urad dal,,,,,,,,,,,,,,,,,,,,,,
exotic vegetables, milk, organic f/v, other dals, root vegetables,,,,,,,,,,,,,,,,,,,,,,,
rasagulla / gulab jamun,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, cashews, organic masalas / spices, other dals, other dry fruits, raisins, sugar cubes, whole spices,,,,,,,,,,,,,,,,,,,,
namkeen, other dals,,,,,,,,,,,,,,,,,,,,,,,,,,
shoe polish,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana, chips, cream biscuits, exotic vegetables, instant noodles, organic f/v, raw rice, root vegetables, toor dal,,,,,,,,,,,,,,,,,,,
avalakki / poha, besan, boiled rice, cashews, chips, ground coffee, hand wash, honey, jaggery, maida, moong dal, organic rice / rice products, other dals, other dry fruits, raisins, raw peanuts, rice flour, shaving blade / razors, sooji / rava, toor dal, urad dal, whole spices,,,,,,
beans, ground coffee, mango juices, organic f/v, other dals, toor dal,,,,,,,,,,,,,,,,,,,,,,
chips, corn snacks, namkeen,,,,,,,,,,,,,,,,,,,,,,,,,
cotton / bandages, face wash, organic f/v, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, bread, chinese noodles, chips, cream biscuits, namkeen, other dry fruits, other rice products, rice flour, sugar, whole spices,,,,,,,,,,,,,,,,,
beans, organic f/v, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
chips, cookies, cream biscuits, healthy / digestive biscuits, namkeen, other juices,,,,,,,,,,,,,,,,,,,,,,
avalakki / poha, beans, bread, cookies, face cream, sugar,,,,,,,,,,,,,,,,,,,,,,
beans, gourd / cucumber, other rice products, other vegetables, sooji / rava, toor dal, urad dal, whole spices,,,,,,,,,,,,,,,,,,,,
banana, cashews, organic f/v, other dry fruits, other vegetables, raisins, root vegetables, sooji / rava, sunflower oils,,,,,,,,,,,,,,,,,,,
banana, other vegetables, root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
bakery / breads, cookies, namkeen, other dals, toor dal, whole spices,,,,,,,,,,,,,,,,,,,,,,
banana, beans, chips, drain cleaners, ghee, root vegetables, whole spices,,,,,,,,,,,,,,,,,,,,,
banana, healthy / digestive biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,
bread, chips, namkeen, other dals, other vegetables, root vegetables, salty biscuits,,,,,,,,,,,,,,,,,,,,,
